item_id,path,item_type,required_for_current_round,canonical,status,purpose
USER_SRC_008,modeling_input/S1/local_reference/source_folder_20260727/平西情报联络站2.jpg,local_image,false,true,LOCAL_REFERENCE_ONLY,"桌面资料包主图；未核验、仅内部参考"
USER_SRC_009,modeling_input/S1/local_reference/source_folder_20260727/trigger_hand_drawn.jpg,local_image,false,true,LOCAL_REFERENCE_ONLY,"S1 手绘触发图；原文件名 平息西情报联络站.jpg"
USER_SRC_010,modeling_input/S1/local_reference/source_folder_20260727/平西情报联络站建模参考素材/69e9b8c3d5de886d89e76e62.jpg,local_image,false,true,LOCAL_REFERENCE_ONLY,"桌面资料包补充参考图"
USER_SRC_011,modeling_input/S1/local_reference/source_folder_20260727/平西情报联络站建模参考素材/69e9b8c5d5de886d89e76e65.jpg,local_image,false,true,LOCAL_REFERENCE_ONLY,"桌面资料包补充参考图"
USER_SRC_012,modeling_input/S1/local_reference/source_folder_20260727/平西情报联络站建模参考素材/W020210201589175363289.jpg,local_image,false,true,LOCAL_REFERENCE_ONLY,"桌面资料包补充参考图"
USER_SRC_013,modeling_input/S1/local_reference/source_folder_20260727/平西情报联络站建模参考素材/W020210201589175571155.jpg,local_image,false,true,LOCAL_REFERENCE_ONLY,"桌面资料包补充参考图"
USER_SRC_014,modeling_input/S1/local_reference/source_folder_20260727/平西情报联络站文字素材.docx,local_document,false,true,LOCAL_REFERENCE_ONLY,"桌面资料包文字素材；已摘录为未核验叙事输入"
GATE_01,modeling_input/S1/02_MODELING_HANDOFF.md,model_spec,false,true,REGISTERED_SEPARATE_ASSET,"用户提供的门楼外观独立资产要求；当前不进入 M3D-01R 或 App 资源契约"
GATE_01_DELIVERY,modeling_delivery/S1/gate/runtime/s1_gate_v2.glb,model_output,false,true,DELIVERED_NOT_RUNTIME_INTEGRATED,"已接收的门楼 v2 模型；须经文字/旗帜/权利/性能审核后才能接入 App"
PLAN,红色电波AR产品计划书.md,product_spec,true,true,APPROVED_BASELINE,"产品形态、场景、性能、数据契约和任务卡"
RESEARCH_INDEX,research/S1_pingxi_intelligence_station/README.md,research,true,true,OWNER_APPROVED_FOR_WHITEBOX,"S1 研究包导航与状态"
FACTS,research/S1_pingxi_intelligence_station/verified_facts.md,research,true,true,VERIFIED_WITH_CAVEATS,"已核史实和禁用说法"
SOURCES,research/S1_pingxi_intelligence_station/source_register.md,research,true,true,VERIFIED_WITH_RIGHTS_LIMITS,"来源、等级和冲突"
LAYOUT,research/S1_pingxi_intelligence_station/scene_layout_brief.md,model_spec,true,true,SUPERSEDED_BY_M3D_01R,"历史坐标、分区、通道、灯光和碰撞参考"
MODELING_RULES,research/S1_pingxi_intelligence_station/modeling_brief.md,model_spec,true,true,FORMAL_ASSET_BLOCKED,"资产级建模规则"
STYLE,research/S1_pingxi_intelligence_station/style_reference_board.md,style_spec,true,true,VISUAL_DIRECTION_FROZEN,"色彩、材质、灯光、禁用元素和三张审核图"
VISUAL_INDEX,research/S1_pingxi_intelligence_station/visual_reference_register.md,research,true,true,VISUAL_REFERENCE_ONLY,"网页和用户视觉参考的可用/禁用结论"
RIGHTS,research/S1_pingxi_intelligence_station/rights_and_risks.md,rights,true,true,PUBLICATION_BLOCKED,"版权、史实和发布风险"
CONTENT,research/S1_pingxi_intelligence_station/content_brief.md,content,true,true,CONDITIONAL,"叙事与文物内容边界"
OPEN_QUESTIONS,research/S1_pingxi_intelligence_station/open_questions.md,review,true,true,P1_OPEN,"仍需馆方/用户补充的问题"
RESEARCH_AUDIT,research/S1_pingxi_intelligence_station/audit_report.md,audit,true,true,STYLE_INPUT_APPROVED,"资料与视觉约束审核结论"
WHITEBOX_SCENE,modeling_delivery/S1/runtime/scene.json,model_output,true,true,WHITEBOX_V0_2,"运行时布局、起点、碰撞和文物配置"
WHITEBOX_ENV,modeling_delivery/S1/runtime/environment_whitebox.glb,model_output,true,true,WHITEBOX_V0_2,"S1 环境白盒"
WHITEBOX_RADIO,modeling_delivery/S1/runtime/props/radio_station_whitebox.glb,model_output,true,true,PLACEHOLDER_ONLY,"电台无铭文占位"
WHITEBOX_KEY,modeling_delivery/S1/runtime/props/telegraph_key_whitebox.glb,model_output,true,true,PLACEHOLDER_ONLY,"发报键占位"
WHITEBOX_DOCS,modeling_delivery/S1/CHANGELOG.md,model_output,true,true,CURRENT,"白盒变更和验证记录"
WHITEBOX_REPORT,modeling_delivery/S1/asset_report.csv,model_output,true,true,CURRENT,"尺寸和资产统计"
